( TK_LP
) TK_RP
[ TK_LS
] TK_RS
{ TK_LC
} TK_RC
-> TK_OPRET
, TK_COMMA
: TK_COLON
; TK_SEMICOLON
# TK_SIZE
= TK_ASSIGN
< TK_LT
<= TK_LE
== TK_EQ
>= TK_GE
> TK_GE
!= TK_NE
+ TK_PLUS
- TK_MINUS
* TK_MUL
/ TK_DIV
% TK_MOD
^^ TK_POW
| TK_PIPE
__main__ TK_MAIN
while TK_WHILE
foreach	TK_FOR
break TK_BRK
next TK_NEXT
return TK_RETURN
if TK_IF
else TK_ELSE
true TK_BCONST
false TK_BCONST
func TK_FUNC
int TK_INT
bool TK_BOOL
char TK_CHAR
real TK_REAL
string TK_STRING
tuple TK_TUPLE
write TK_WRITE
read TK_READ
and TK_AND
or TK_OR
not TK_NOT
